4.75607 2.82636
6.36858 2.84962
5.06654 6.48967
5.06721 3.94673
5.92506 5.4014
9.24935 5.74344
7.04193 6.56682
4.74432 4.32637
3.62569 7.61684
3.12832 -0.344732
3.45452 3.95687
0.969424 5.10074
3.21075 4.97367
4.63064 3.64109
4.85252 6.71649
5.75382 3.50146
7.80461 6.6118
4.32954 6.34514
7.42305 5.09296
4.42977 7.30174
2.37145 4.73784
4.05808 5.14454
8.34653 4.97951
4.18878 4.36949
3.78608 1.80735
3.02376 6.59428
7.2094 2.34886
3.0565 8.13914
5.31748 4.67619
7.83635 1.01272
6.13591 4.97171
6.0312 2.60491
7.23349 6.11466
2.12856 4.77195
6.88201 4.56232
4.16419 2.90335
4.73031 2.79811
6.49222 4.83511
5.1917 4.86651
5.03769 7.28348
4.6843 7.65538
7.20432 5.90114
5.26522 5.11802
5.25383 1.29513
6.98121 4.54768
6.86014 6.98181
3.51619 5.08527
9.00956 4.75648
6.55163 -0.713146
7.69063 4.47114
